id,product_id,batch_number,manufacture_date,photo_path,color_check_result,comment,created_at,avg_r,avg_g,avg_b,avg_lab,label,rus_color_name
31,67,103,2025-06-24,pictures/1750849634066_67_103.jpg,не соответствует,,2025-06-25T11:07:15.850726,176,177,158,"[71.65192696560473, -3.746833947520678, 9.602750807940176]",,Бутон
32,67,104,2025-06-25,pictures/1750849922975_67_104.jpg,не соответствует,,2025-06-25T11:12:04.956231,176,177,159,"[71.67533975028256, -3.5770902472923582, 9.088595515481646]",,Бутон
33,95,42,2025-06-25,pictures/1750853721859_95_42.jpg,не соответствует,,2025-06-25T12:15:23.486752,172,175,164,"[70.94733769773443, -3.087558220194908, 5.260196256029603]",,Темно-серый
34,96,86,2025-06-25,pictures/1750853787846_96_86.jpg,не соответствует,,2025-06-25T12:16:29.628479,175,173,158,"[70.50376932263677, -1.9698252494076418, 7.954188131217355]",,Бутон
35,50,113,2025-06-25,pictures/1750853870427_50_113.jpg,не соответствует,,2025-06-25T12:17:52.390176,174,175,167,"[71.17913736669635, -1.8268161100145064, 3.9653510406040704]",,Серебряная чаша
36,62,12,2025-06-26,pictures/1750945262118_62_12.jpg,не соответствует,,2025-06-26T13:41:04.117274,170,176,169,"[71.18779851667064, -3.4264058410858333, 2.839347429619621]",,Серебряная чаша
37,67,105,2025-06-26,pictures/1750945462084_67_105.jpg,не соответствует,,2025-06-26T13:44:24.670148,176,175,150,"[70.93434363410363, -4.0005723989492985, 12.965302504491927]",,Серо-коричневый
38,75,9,2025-06-26,pictures/1750946811990_75_9.jpg,не соответствует,,2025-06-26T14:06:54.175069,175,176,162,"[71.40080844509563, -2.8903719993204624, 7.041111078517304]",,Бутон
39,1,36,2025-06-26,pictures/1750946971247_1_36.jpg,не соответствует,,2025-06-26T14:09:34.292337,173,171,158,"[69.80911678336706, -1.6277427521923515, 6.9382553217471]",,Облачно
40,72,55,2025-06-26,pictures/1750947136201_72_55.jpg,не соответствует,,2025-06-26T14:12:18.876932,163,161,146,"[66.02148827905422, -1.9864207614586071, 8.062668640466452]",,Железо
41,87,3,2025-06-24,pictures/1750947953110_87_3.jpg,"Нет цветов с подстрокой: ""светло-бежевый""",,2025-06-26T14:25:55.937243,174,171,152,"[69.74746260529733, -2.276194621197991, 10.166857208339852]",,Серо-коричневый
42,91,22,2025-06-26,pictures/1751034620289_91_22.jpg,не соответствует,,2025-06-27T14:30:22.758824,175,179,169,"[72.37445540284895, -3.2538558271670848, 4.604569773698919]",,Серебряная фольга
43,67,106,2025-06-27,pictures/1751034797925_67_106.jpg,не соответствует,,2025-06-27T14:33:20.256787,174,174,156,"[70.64354684333952, -3.217046733898221, 9.241991203641442]",,Бутон
44,69,45,2025-06-27,pictures/1751035438608_69_45.jpg,не соответствует,,2025-06-27T14:44:01.300525,180,177,152,"[71.83545398499803, -3.245820149665901, 13.187338083940435]",,Меланжевый серый
45,69,44,2025-06-26,pictures/1751035582860_69_44.jpg,не соответствует,,2025-06-27T14:46:25.916769,177,172,144,"[70.08177997189259, -2.9647903266449838, 15.06518618146191]",,Серо-коричневый
46,1,37,2025-06-27,pictures/1751035696490_1_37.jpg,не соответствует,,2025-06-27T14:48:19.185299,179,177,162,"[71.984944208235, -1.9644083180678784, 7.919884010124845]",,Кочевник
47,95,41,2025-06-20,pictures/1751035801920_95_41.jpg,не соответствует,,2025-06-27T14:50:04.645988,171,174,166,"[70.65195299438503, -2.547208249753019, 3.723464594638415]",,Темно-серый
